Tinamiformes		
Tinamidae		
Aphantochroa cirrhochloris (Vieillot, 1818)	beija-flor-cinza	em perigo
Lophornis magnificus (Vieillot, 1817)	topetinho-vermelho	provavelmente extinta
Phaethornis eurynome (Lesson, 1832)	rabo-branco-de-garganta-rajada	vulnerável
Coraciiformes		
Momotidae		
Baryphthengus ruficapillus (Vieillot, 1818)	juruva	criticamente em perigo
Piciformes		
Ramphastidae		
Bailonius bailloni (Vieillot, 1819)	araçari-banana	criticamente em perigo
Pieroglossus castanotis Gould, 1834	araçari-castanho	criticamente em perigo
Ramphastos toco Müller, 1776	tucanuçu	vulnerável
Selenidera maculitostris (Lichtenstein, 1823)	araçaripoca	criticamente em perigo
Picidae		
Campephilus robustus (Lichtenstein, 1818)	pica-pau-rei	em perigo
Dryocopus galeatus (Temminck, 1822)	pica-pau-de-cara-amarela	criticamente em perigo
Dryocopus lineatus (Linnaeus, 1766)	pica-pau-de-banda-branca	vulnerável
Picoides mixtus (Boddaert, 1783)	picapauzinho-chorão	criticamente em perigo
Passeriformes		
Dendrocolaptidae		
Dendrocincia turdina (Lichtenstein, 1820)	arapaçu-liso	criticamente em perigo
Drymornis bridgesii (Eyton, 1850)	arapaçu-platino	criticamente em perigo
Furnariidae		
Anabacerthia amaurofis (Temminck, 1823)	limpa-folha-miúdo	vulnerável
Asthenes baeri (Berlepsch, 1906)	lenheiro	vulnerável
Automolus leucophthalmus (Wied-Neuwied, 1821)	barranqueiro-de-olho-branco	criticamente em perigo
Cichlocolaptes leucophrus (Jardine & Selby, 1830)	trepador-sobrancelha	em perigo
Clibanornis dendrocolaptoides (Pelzein, 1859)	cisqueiro	vulnerável
Coryphistera alaudina Burmeister, 1860	corredor-crestudo	criticamente em perigo
Leptasthenura platensis Reichenbach, 1853	rabudinho	criticamente em perigo
Limnoctites rectirostris (Gould, 1839)	junqueiro-de-bico-reto	vulnerável
Philydor atricapillus (Wied-Neuwied, 1821)	limpa-folha-coroado	criticamente em perigo
Philydor lichtensteini Cabanis & Heine, 1859	limpa-folha-ocráceo	em perigo
Pseudoseisura lophotes (Reichenbach, 1853)	coperete	criticamente em perigo
Spartonoica maluroides (d’Orbigny & Lafresnaye, 1837)	boininha	vulnerável
Synollaxis albescens Temminck, 1823	uí-pi	vulnerável
Formicariidae		
Drymophila rubricollis (Bertoni, 1901)	trovoada-de-bertoni	em perigo
Formicarius colma Boddaert, 1783	galinha-do-mato	criticamente em perigo
Grallaria varia (Boddaert, 1783)	tovacuçu	vulnerável
Mackenziaena severa (Lichtenstein, 1823)	borralhara	em perigo
Myrmeciza squamosa Pelzeln, 1868	papa-formiga-de-grota	em perigo
Myrmotherula unicolor (Ménétriès, 1835)	choquinha-cinzenta	em perigo
Pyriglena leucoptera (Vieillot, 1818)	papa-taoca	avulnerável
Rhinocryptidae		
Psilorhamphus guttatus (Ménétriès, 1835)	macuquinho-pintado	vulnerável
Scytalopus indigoticus (Wied-Neuwied, 1831)	macuquinho	em perigo
Tyrannidae		
Attila rufus (Vieillot, 1819)	capitão-de-saíra	criticamente em perigo
Capsiempis flaveola (Lichtenstein, 1823)	marianinha-amarela	vulnerável
Cnemotriccus fuscatus fuscatus (Wied-Neuwied, 1831)	guaracavuçu	vulnerável
Colonia colonus (Vieillot, 1818)	viuvinha	vulnerável
Contopus cinereus (Spix, 1825)	papa-moscas-cinzento	em perigo
Corythopis delalandi (Lesson, 1830)	estalador	em perigo
Culicivora caudacuta (Vieillot, 1818)	papa-moscas-do-campo	criticamente em perigo
Hemitriccus diops (Temminck, 1822)	olho-falso	em perigo
Hemitriccus orbitatus (Wied-Neuwied, 1831)	tiririzinho-do-mato	criticamente em perigo
Heteroxolmis dominicana (Vieillot, 1823)	noivinha-de-rabo-preto	vulnerável
Phylloscartes eximius (Temminck, 1822)	barbudinho	em perigo
Phylloscartes kronei Willis & Oniki, 1992	maria-da-restinga	vulnerável
Platyrinchus leucoryphus Wied-Neuwied, 1831	patinho-gigante	criticamente em perigo
Pipridae		
Manacus manacus (Linnaeus, 1766)	rendeira	em perigo
Piprites chloris (Temminck, 1822)	papinho-amarelo	em perigo
Piprites pileatus (temminck, 1822)	caneleirinho-de-boné-preto	em perigo
Cotingidae		
Phibalura flavirostris Vieillot, 1816	tesourinha-do-mato	criticamente em perigo
Procnias nudicollis (Vieillot, 1817)	araponga, ferreiro	em perigo
Pyroderus scutatus (Shaw, 1792)	pavó	criticamente em perigo
Motacillidae		
Anthus nattereri Sclater, 1878	caminheiro-grande	vulnerável
Troglodytidae		
Cistothorus platensis (Latham, 1790)	corruíra-do-campo	em perigo
Muscicapidae		
Polioptila lactea Sharpe, 1885	balança-rabo-leitoso	em perigo
Emberizidae		
Cissopis leveriana (Gmelin, 1788)	tiê-tinga	vulnerável
Euphonia violacea (Linnaeus, 1758)	gaturamo-verdadeiro	vulnerável
Gubernatrix cristata (Vieillot, 1817)	cardeal-amarelo	em perigo
Oryzoborus angolensis (Linnaeus, 1766)	curió	em perigo
Saltator fuliginosus (Daudin, 1800)	bico-de-pimenta	vulnerável
Sporophila cinnamomea (Lafresnaye, 1839)	caboclinho-de-chapéu-cinzento	em perigo
Sporophila collaris (Boddaert, 1783)	coleiro-do-beijo	vulnerável
Sporophila frontalis (Verreaux, 1869)	pixoxó	provavelmente extinta
Sporophila hypoxantha Cabanis, 1851	caboclinho-de-barriga-vermelha	criticamente em perigo
Sporophila melanogaster (Pelzeln, 1870)	caboclinho-de-barriga-preta	vulnerável
Sporophila palustris (Barrows, 1883)	caboclinho-de-papo-branco	em perigo
Sporophila plumbea (Wied-Neuwied, 1830)	patativa	em perigo
Tangara cyanocephala (Müller, 1776)	saíra-militar	em perigo
Tangara peruviana (Desmarest, 1806)	saíra-sapucaia	em perigo
Tangara Seledon (Müller, 1776)	saíra-de-sete-cores	vulnerável
Icteridae		
Agelatius cyanopus Vieillot, 1819	carretão	em perigo
Cacicus solitarius (Vieillot, 1816)	iraúna-de-bico-branco	vulnerável
Molothrus oryzivorus (Gmelin, 1788)	iraúna-grande	em perigo
Xanthopsar flavus (Gmelin, 1788)	veste-amarela	vulnerável
