Categoria	Grupo	Família	Espécie	Nome Comum
CR	Aves	Ramphastidae	Pteroglossus castanotis	araçari- castanho
EN	Aves	Cotingidae	Pyroderus scutatus	pavó
VU	Aves	Rallidae	Rallus longirostris	saracura- matraca
VU	Aves	Thraupidae	Ramphocelus bresilius	tiê-sangue
VU	Aves	Thraupidae	Saltator fuliginosus	pimentão
EN	Aves	Rhinocryptidae	Scytalopus iraiensis	macuquinho- da-várzea
EN	Aves	Rhinocryptidae	Scytalopus pachecoi	tapaculo- ferreirinho
EN	Aves	Accipitridae	Spizaetus melanoleucus	gavião-pato
CR	Aves	Accipitridae	Spizaetus ornatus	gavião-de-penacho
VU	Aves	Accipitridae	Spizaetus tyrannus	gavião-pega- macaco
CR	Aves	Emberizidae	Sporophila angolensis	curió
CR	Aves	Emberizidae	Sporophila cinnamomea	caboclinho-de- chapéu- cinzento
VU	Aves	Emberizidae	Sporophila frontalis	pixoxó
VU	Aves	Emberizidae	Sporophila hypoxantha	caboclinho- de-barriga-  vermelha
VU	Aves	Emberizidae	Sporophila melanogaster	caboclinho-  de-barriga- preta
CR	Aves	Emberizidae	Sporophila plumbea	patativa
EN	Aves	Emberizidae	Sporophila  falcirostris	cigarra-  verdadeira
EN	Aves	Strigidae	Strix huhula	coruja-preta
CR	Aves	Thamnophilidae	Stymphalornis acutirostris	bicudinho-do- brejo
VU	Aves	Tyrannidae	Tachuris rubrigastra	papa-piri
EN	Aves	Thraupidae	Tachyphonus cristatus	tiê-galo
EN	Aves	Thraupidae	Tangara peruviana	saíra-sapucaia
EN	Aves	Diomedeidae	Thalassarche chlororhynchos	albatroz-de- nariz-amarelo
VU	Aves	Diomedeidae	Thalassarche chrysostoma	albatroz-de- cabeça-cinza
EN	Aves	Diomedeidae	Thalassarche melanophris	albatroz-de- sobrancelha
VU	Aves	Sternidae	Thalasseus maximus	trinta-réis-real
CR	Aves	Ardeidae	Tigrisoma fasciatum	socó-boi- escuro
VU	Aves	Tinamidae	Tinamus solitarius	macuco
CR	Aves	Psittacidae	Touit melanonotus	apuim-de- costas-pretas
VU	Aves	Psittacidae	Triclaria malachitacea	sabiá-cica
EN	Aves	Trogonidae	Trogon viridis	surucuá- grande-de- barriga-  amarela
CR	Aves	Icteridae	Xanthopsar flavus	veste-amarela
EN	Aves	Tyrannidae	Xolmis dominicanus	noivinha-de- rabo-preto
